label,text
1.0,&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order
1.0,@CallMeDaishaa ghetto ass Pocahontas .
0.0,RT @KingDrayn: @rosebeforehoes2 don't forget we gotta take out trash and need milk...and spermicidal lube
0.0,I want a four loco right now so I can chug it and go straight to sleep.
1.0,@Evan_White4 @jeremy_hemsley really that's why we got side hoes &#128526;
1.0,"""If you love her then hide yo bitch so you'll keep shorty.""
@wizkhalifa"
0.0,There's a green bowl high. A spliff high. A j high. A blunt high. A moke high. And a Moke + coffee high.
1.0,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
0.0,Sources say that Charlie Crist is on the phone with Rick Scott as I type this to concede.
1.0,@_____0__o______ faggot
1.0,@Giannaamarieeee first off who you calling a hoe ? Don't make me go sharkeisha ok you boo boo
0.0,RT @elleeebeee: flappy bird make me just smash my phone into my face
0.0,I just whipped up these #homemade #pickled #eggs while home being a cripple... Made with #garlic&#8230; http://t.co/0xKFnW3luF
0.0,Fairy tale world lmao
0.0,"Molly and Ellie need the teas, so #CafeShaw bound I go. Everyone else is off to Amsterdam I couldn't get time off so hey ho 8-)"
0.0,"RT @ManiChakr: @ArvindKejriwal itni bahaduri!!! interviews mein to hamesha marne ko tayyar rehte ho, got scared of crackers? LOL http://t.c&#8230;"
0.0,"RT @AishaMoodMills: Fox News mocks victim of Ray Rice elevator assault: &#8216;I think the message is, take the stairs&#8217; http://t.co/6TKLgUP2Wh ht&#8230;"
1.0,"4 old hoes, a ponk, and a dyke outchea having ""girl talk"""
0.0,@BNightengale @FeinsandNYDN Time for Ranger scouts to head out and watch some Yankee prospects. #rangers
1.0,&#8220;@lilduval: Is it me or does Kim kardashian ain't looking as good no more&#8221;still look better then these so called bad bitches
0.0,"@KellenDaniel along with the French blue and Buggs bunny VIIs, and the Oreo IVs. @LaJethroJenkins"
1.0,@BakariT bitch what?
0.0,The jigg is up
0.0,RT @CuteOverloads: baby monkey in the snow im crying &#128557;&#128018;&#10052; http://t.co/gMk5dbjaJQ
