label,text
0.0,@section90sSoul yall defense too trash for that &#128514;&#128514;&#128514;
1.0,@CinWicked Did you just call My Sweet Baboo a ho?!?!
0.0,@HuntsTheWind I wonder if I have my very own NSA spook following me by now?
1.0,"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."
0.0,Serious question here; How many country songs mention honkey tonk(s)?
0.0,@05235fd083ad408 hick yes
1.0,&#128514;&#128514; &#8220;@JusDahl &#8220;@JustKorey &#8220;@JusDahl: Y'all have boring sex.&#8221; Nope.. I lick the side of my bitch face when I'm hittin it from the back&#8221;&#8221;
1.0,@keltor_wade nah dude mostly just sound like a faggot
0.0,RT @LakersTV: VIDEO: @kobebryant on talking trash while facing @NickSwagyPYoung during today&#8217;s scrimmage &#8211; http://t.co/3njZFytc1R http://t.&#8230;
0.0,"@TeamSky yellow in paris! Fantastic effort from #AllezWiggo and #VroomFroome..now just the last stage up for grabs #GoCav #TDF12"""
0.0,"@Krbfarms @Cornfrmr Homemade Angel Food, yellow cake with half-inch chocolate frosting, Devil's Food to die for, Pecan Pie"
0.0,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
1.0,@Vexda go jerk off to lollis faggot.
1.0,@AlfieHeydrich Seen a pic of nigs robbing a store. Caption said(protesting gos on in Fergerson). Lol. I don't like pigs either but wtf!
0.0,RT @JaworskiMeats: Winning Browns! #cle #clevelandfans #clevelandpride #clevelandbrowns #clevelandsports #browns #brownie&#8230; http://t.co/Gm4h&#8230;
1.0,&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;
0.0,"Me: downloads flappy bird*
Sierra: ""welp there goes school"""
1.0,@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers))
0.0,Text me instead of playing flappy birds #SoIKnowItsReal
1.0,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"
1.0,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1.0,"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7"
1.0,@LaneBelgarde shut up bitch
1.0,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Fisting | Dude fists his wife&#8217;s big pussy http://t.co/snFAf5Uxxb"
0.0,@MarkB_LifeStyle @SportsCenter @Athletics Cant the Yankees make some last weeks moves??
1.0,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
0.0,RT @SkinnieTalls: It's not as easy as you'd think to find an astronaut monkey outfit at the last minute.
0.0,Lethal bird flu cocktail sent out of lab accidentally went unreported &#8211; CDC http://t.co/MO2m6q3xTt
0.0,"Charlie Crist wins Democratic primary in Florida governor's race, AP projects http://t.co/Gy9uRBtQ1q via @WSJ"
0.0,"@steve_phillips_ funny, I thought @bobmuellerwkrn #tbt 90s photo this week would have you hanging me over a trash can by my ankles"
1.0,&#8220;@prettycha305: Group chat bitches we call yall undercover Feds &#128110;&#128110;&#128110; watching everybody&#8221;
0.0,RT @ChristineKKTV: Great weather to hit up the slopes this weekend... @Arapahoe_Basin &amp; @LovelandSkiArea open Saturday! #COwx #skiseason ht&#8230;
1.0,@Leslieeeixta @LettyGuerrero3 haha Noo bitch now! &#128071; stop playing games hoe! &#128517;&#128514;
0.0,"@AngryWillHelms Genius, the politically correct term would be ""intellectually disabled."" It's highly offensive to use the word retarded."
1.0,&#128520;&#128525;&#128176; - your my BFFL. I love you ya funcy bitch &#128514; I went Finna be faded &amp; shaded on ya C Day &#128153; #WEDEMGIRLZ &#128520;&#128526;&#128176;&#128526;
0.0,I'm about to post my Charlie Clips vs Yung ill rap battle review in a few
0.0,RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.
0.0,I see ya big Boi in the Oreo V's
1.0,&#128514;&#128514;&#128514; bitch my lrt
1.0,"#MentionADislike hoes thinkin they bad even if they are I will tell her ""bitch calm down u average"""
1.0,&#8220;@HighClassCapri: @what_evaittakes lmao definitely not &#127814;&#8221;&#128553;&#128553;&#128553; I was bout to say don't front bitch that shit a freeway
0.0,I get a 50 pound bag of dawg for the mutts
0.0,&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha
1.0,&#8220;@eminoelle: Why you let these hoes tear what we had right apart&#8221;
1.0,&#8220;@uGOTTAeatTHEass: Niggas swear they love a honest bitch tho http://t.co/vastMFJphu&#8221; &#128514;&#128557;&#128514;&#128557;&#128514;&#128557; he salty bm
1.0,@JusDahl not nappy head hoe though &#128514;&#128514;
1.0,&#8220;@SAVINGNOHOES: When she ask how imma eat her pussy https://t.co/6wVjrC3m1Q&#8221;&#128128;
1.0,"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao"
1.0,&#8220;@TedOfficialPage: Fucked your bitch and left her like... http://t.co/x41Q6LUH37&#8221;&#128553;&#128553;&#128514;
1.0,I know righttt RT @dta_87: I hate fat loud bitches
1.0,"@Cuner Makes you a pussy. Making stupid internet threats. You're a child and if it is about you which idk if it is, it's probably deserved."
0.0,My Twitter app is poo trash.
1.0,@KINGDOMMINDED__ @_lostb0y fuck off my pussy boi bitch
0.0,"RT @KatiePavlich: Charlie Crist doesn't have any more political parties to join, but he could become a spokesman for a fan company."
1.0,&#8220;@verseunanswered: Did that bitch from Frozen ever let it go?&#8221; &#128514;&#128514;
0.0,#WhatImCraving Peanut Butter Oreos &lt;3
0.0,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn"
0.0,@Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.
1.0,@BigD757 too bad hes a faggot
1.0,&#8220;@ChrizzyFive: Trying to run game on me u dumb bitch !!&#8221; @ her tho
1.0,"&#128514;&#128514;&#8220;@BrandonBeSlydin: My fucking god bruh, the birds from southridge are in front of my house.&#8221;"
0.0,"@AnthonyCumia Enjoy it,I'm happy for you,but I hate the Yankees,and yes the Sox did choke"
1.0,@2LEGIT4that go be cunt somewhere else
1.0,*pops that pussy for singles*
1.0,@GiantRaiderKing oh you sneaky son of a bitch you
1.0,Fuck that nigga's shit up! Olivia's pussy got Fitz going batshit!!!
0.0,"RT @KNegandhiESPN: That Peppers slant was a genius/crazy call. Genius if he catches it. Crazy if he drops it, then blow a TO, then get sack&#8230;"
1.0,"&#8220;@Godbody_ream: I couldn't hit a woman with a penis and pussy, I don't care how sexy or rich she is&#8221;&#128563;"
0.0,"RT @linnyitssn: No teabaggers, 9/11 is not about Benghazi, it's about those planes and those towers. Stop watching Fox News."
0.0,I could go for a brownie right now
1.0,"""Walked in that bitch like, NIGGA WE MADE IT!"""
0.0,RT @ImaPlainJane: @SimplySoulful Uncle Charlie and nem lol
1.0,&#8220;@Whoscherry: Ever met a bitch that fucked with your nigga but was to pussy to admit it ?&#8221; A bitch for a bitch.
0.0,The right for an English person to go about his business is more important than any suspicion of some rouge wog cop.
1.0,&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order
1.0,Hey my folk. This nigger loving Jew boy @Deuterostomes asked if I was making death threats against his goat fucking people. Fuck him.
0.0,RT @BigJonBul: The stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&#8230;
